	Time	Field	Moment	Temerature	dMoment	Kramer	Jc	Fp	Km	Hnorm	Fpnorm
834	417256.0	2.1735	-0.09462959	4.162	0.18517721	0.52249685	0.038984675789473684	0.08473319282842107	0.23973799812968105	0.5163198403648803	0.9136217122859325
835	417756.0	2.1786	-0.09441157	4.163	0.18480654	0.52227957	0.03890664	0.08476200590399999	0.2396383044366555	0.5175313568985176	0.9139323845333472
836	418257.0	2.1835	-0.09424534	4.164	0.18448091	0.5221124	0.03883808631578947	0.08480296147052631	0.2395616029501245	0.5186953629798555	0.9143739811918514
837	418757.0	2.1885	-0.09410976	4.166	0.18417118	0.52197232	0.038772879999999996	0.08485444787999999	0.23949732567038157	0.5198831242873432	0.9149291249320153
838	419258.0	2.1936	-0.09398508	4.167	0.18385772	0.52183151	0.03870688842105263	0.08490743044042105	0.23943271471529037	0.5210946408209806	0.9155004006736388
839	419758.0	2.1986	-0.09386585	4.168	0.18357972	0.52173372	0.03864836210526316	0.08497228892463157	0.23938784912307004	0.5222824021284682	0.9161997266098239
840	420258.0	2.2035	-0.09374049	4.169	0.18333762	0.52167984	0.03859739368421053	0.0850493569831579	0.2393631290680015	0.5234464082098061	0.9170307002724822
841	420758.0	2.2085	-0.09358515	4.169	0.18306743	0.52159077	0.03854051157894737	0.08511671982210527	0.23932225618049552	0.5246341695172938	0.9177570290016281
842	421258.0	2.2136	-0.09339779	4.169	0.182728	0.52140758	0.038469052631578946	0.08515509490526316	0.23923820327541018	0.5258456860509312	0.9181708020227254
843	421758.0	2.2186	-0.09323155	4.169	0.18237781	0.52120162	0.03839532842105263	0.08518387563494736	0.23914370067849355	0.5270334473584188	0.9184811255058516
844	422258.0	2.2235	-0.0930912	4.169	0.18207108	0.52105044	0.038330753684210524	0.0852284308168421	0.23907433850805596	0.5281974534397568	0.9189615344248959
845	422758.0	2.2285	-0.09294063	4.169	0.18176812	0.52090919	0.038266972631578945	0.08527794850947368	0.2390095270412358	0.5293852147472444	0.9194954507995818
