4.2K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
11:27 AM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 75.0
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
96095.00000000	-1.03800000	-0.14221691	4.18100000	0.26050900	0.51518203
96595.00000000	-1.03310000	-0.14271631	4.18100000	0.26869221	0.52259244
97096.00000000	-1.02800000	-0.14321503	4.18100000	0.28812183	0.54048838
97596.00000000	-1.02300000	-0.14373487	4.18200000	0.30509540	0.55550342
98098.00000000	-1.01800000	-0.14423358	4.18200000	0.30646309	0.55606560
98598.00000000	-1.01290000	-0.14469142	4.18200000	0.30745111	0.55626236
99098.00000000	-1.00800000	-0.14516970	4.18200000	0.30844138	0.55648243
99598.00000000	-1.00300000	-0.14566842	4.18200000	0.30951442	0.55675699
100099.00000000	-0.99800000	-0.14616782	4.18300000	0.31060194	0.55703786
100599.00000000	-0.99290000	-0.14668698	4.18300000	0.31167451	0.55728457
101099.00000000	-0.98800000	-0.14724837	4.18400000	0.31278417	0.55758569
101600.00000000	-0.98300000	-0.14780977	4.18400000	0.31387486	0.55784898
102100.00000000	-0.97790000	-0.14835073	4.18500000	0.31494544	0.55807334
102601.00000000	-0.97290000	-0.14884945	4.18500000	0.31595457	0.55825082
103101.00000000	-0.96800000	-0.14934885	4.18500000	0.31696524	0.55843761
103602.00000000	-0.96300000	-0.14986868	4.18500000	0.31803757	0.55865770
104102.00000000	-0.95790000	-0.15040896	4.18500000	0.31919486	0.55893073
104602.00000000	-0.95290000	-0.15090836	4.18500000	0.32032772	0.55918961
105102.00000000	-0.94800000	-0.15142752	4.18500000	0.32143711	0.55943559
105602.00000000	-0.94300000	-0.15198891	4.18500000	0.32258743	0.55969528
106102.00000000	-0.93790000	-0.15252987	4.18500000	0.32365797	0.55986367
106602.00000000	-0.93290000	-0.15302859	4.18500000	0.32466814	0.55998786
107102.00000000	-0.92800000	-0.15354843	4.18500000	0.32571624	0.56015305
107603.00000000	-0.92300000	-0.15410983	4.18500000	0.32679102	0.56031917
