14.0K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
5:06 PM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.01mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 93.6
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
89585.00000000	-1.10300000	-0.01303526	14.00000000	0.02653907	0.16695011
90086.00000000	-1.09800000	-0.01310155	14.00100000	0.02668277	0.16721146
90586.00000000	-1.09310000	-0.01316784	14.00100000	0.02682420	0.16746666
91086.00000000	-1.08800000	-0.01323414	14.00100000	0.02696246	0.16770151
91586.00000000	-1.08300000	-0.01329777	14.00100000	0.02709491	0.16791945
92086.00000000	-1.07800000	-0.01336536	14.00100000	0.02723431	0.16815620
92586.00000000	-1.07310000	-0.01342640	14.00100000	0.02736767	0.16837554
93087.00000000	-1.06800000	-0.01348622	14.00100000	0.02750484	0.16859604
93588.00000000	-1.06300000	-0.01354468	14.00100000	0.02764598	0.16882987
94088.00000000	-1.05800000	-0.01360708	14.00100000	0.02779095	0.16907254
94588.00000000	-1.05290000	-0.01366942	14.00100000	0.02793680	0.16931098
95089.00000000	-1.04800000	-0.01373313	14.00100000	0.02808243	0.16955386
95590.00000000	-1.04280000	-0.01379805	14.00100000	0.02823647	0.16980693
96090.00000000	-1.03800000	-0.01386564	14.00100000	0.02838250	0.17004921
96590.00000000	-1.03290000	-0.01394106	14.00100000	0.02854284	0.17031902
97090.00000000	-1.02800000	-0.01401382	14.00100000	0.02870117	0.17058786
97590.00000000	-1.02300000	-0.01408659	14.00100000	0.02886168	0.17085580
98090.00000000	-1.01800000	-0.01415676	14.00200000	0.02901407	0.17109655
98590.00000000	-1.01290000	-0.01422823	14.00200000	0.02916975	0.17133970
99090.00000000	-1.00800000	-0.01430488	14.00200000	0.02933151	0.17160594
99590.00000000	-1.00300000	-0.01439195	14.00300000	0.02951603	0.17193100
100090.00000000	-0.99800000	-0.01448032	14.00300000	0.02969870	0.17224686
100590.00000000	-0.99290000	-0.01456480	14.00300000	0.02987586	0.17253873
101090.00000000	-0.98800000	-0.01465057	14.00400000	0.03005161	0.17283158
101590.00000000	-0.98300000	-0.01473765	14.00400000	0.03023335	0.17313366
102090.00000000	-0.97800000	-0.01482731	14.00400000	0.03041408	0.17342913
102590.00000000	-0.97290000	-0.01491697	14.00400000	0.03059580	0.17371925
103090.00000000	-0.96800000	-0.01500145	14.00400000	0.03077312	0.17400216
103590.00000000	-0.96300000	-0.01508327	14.00400000	0.03095552	0.17429126
104091.00000000	-0.95800000	-0.01517164	14.00400000	0.03114153	0.17458679
104591.00000000	-0.95290000	-0.01526655	14.00500000	0.03133891	0.17490562
105091.00000000	-0.94800000	-0.01536268	14.00500000	0.03153360	0.17522208
105591.00000000	-0.94300000	-0.01545622	14.00500000	0.03172678	0.17552578
106091.00000000	-0.93790000	-0.01555501	14.00500000	0.03191938	0.17581923
106591.00000000	-0.93290000	-0.01564985	14.00500000	0.03210350	0.17609010
107091.00000000	-0.92800000	-0.01574339	14.00500000	0.03228958	0.17636735
107591.00000000	-0.92300000	-0.01583571	14.00500000	0.03248149	0.17665193
108091.00000000	-0.91800000	-0.01593314	14.00500000	0.03267147	0.17692736
108591.00000000	-0.91290000	-0.01603322	14.00500000	0.03286346	0.17719948
109091.00000000	-0.90800000	-0.01612806	14.00500000	0.03304820	0.17745792
109591.00000000	-0.90300000	-0.01621125	14.00600000	0.03322900	0.17769718
110091.00000000	-0.89800000	-0.01629961	14.00600000	0.03341730	0.17795278
110591.00000000	-0.89290000	-0.01639186	14.00600000	0.03361005	0.17821133
111091.00000000	-0.88800000	-0.01648152	14.00600000	0.03379635	0.17845887
111591.00000000	-0.88300000	-0.01657513	14.00600000	0.03399220	0.17872274
112091.00000000	-0.87800000	-0.01666868	14.00600000	0.03418757	0.17898133
112591.00000000	-0.87290000	-0.01676222	14.00700000	0.03438691	0.17924114
113091.00000000	-0.86800000	-0.01685576	14.00700000	0.03458246	0.17949728
113592.00000000	-0.86300000	-0.01695067	14.00700000	0.03478193	0.17975440
114092.00000000	-0.85800000	-0.01705198	14.00700000	0.03498346	0.18001273
114592.00000000	-0.85290000	-0.01716378	14.00700000	0.03519348	0.18028335
115092.00000000	-0.84790000	-0.01726646	14.00700000	0.03540301	0.18055364
115592.00000000	-0.84300000	-0.01736777	14.00700000	0.03561548	0.18083241
116092.00000000	-0.83790000	-0.01747432	14.00700000	0.03583742	0.18112000
116593.00000000	-0.83290000	-0.01758483	14.00800000	0.03605718	0.18140283
117094.00000000	-0.82790000	-0.01769009	14.00800000	0.03627438	0.18167470
117594.00000000	-0.82300000	-0.01779924	14.00800000	0.03649527	0.18195677
118094.00000000	-0.81790000	-0.01791227	14.00800000	0.03672031	0.18223350
118594.00000000	-0.81290000	-0.01802795	14.00800000	0.03694661	0.18251417
119095.00000000	-0.80790000	-0.01813839	14.00800000	0.03716970	0.18278221
119595.00000000	-0.80300000	-0.01825667	14.00800000	0.03740358	0.18307772
120095.00000000	-0.79800000	-0.01837229	14.00800000	0.03763985	0.18336848
120596.00000000	-0.79290000	-0.01848668	14.00800000	0.03788526	0.18367065
121097.00000000	-0.78790000	-0.01860359	14.00800000	0.03813242	0.18397761
121598.00000000	-0.78280000	-0.01872057	14.00800000	0.03838097	0.18427681
122098.00000000	-0.77790000	-0.01883101	14.00800000	0.03861460	0.18454689
122598.00000000	-0.77290000	-0.01893757	14.00800000	0.03884586	0.18480052
123099.00000000	-0.76790000	-0.01905584	14.00800000	0.03909279	0.18508640
123600.00000000	-0.76280000	-0.01917800	14.00800000	0.03934648	0.18537690
124100.00000000	-0.75790000	-0.01930016	14.00900000	0.03958799	0.18564563
124600.00000000	-0.75290000	-0.01942232	14.00900000	0.03984135	0.18593081
125100.00000000	-0.74780000	-0.01954053	14.00900000	0.04009337	0.18620128
125600.00000000	-0.74280000	-0.01966527	14.00900000	0.04034408	0.18646953
126102.00000000	-0.73790000	-0.01979397	14.00900000	0.04060085	0.18675272
126602.00000000	-0.73290000	-0.01992649	14.00900000	0.04086985	0.18705215
127102.00000000	-0.72780000	-0.02005641	14.00900000	0.04114436	0.18735192
127604.00000000	-0.72280000	-0.02018116	14.00900000	0.04141002	0.18763216
128104.00000000	-0.71790000	-0.02031892	14.00900000	0.04168912	0.18794352
128605.00000000	-0.71290000	-0.02046969	14.00900000	0.04198953	0.18829017
129105.00000000	-0.70780000	-0.02062169	14.01000000	0.04229743	0.18864035
129606.00000000	-0.70280000	-0.02077635	14.01000000	0.04260706	0.18899430
130106.00000000	-0.69790000	-0.02092712	14.01000000	0.04291437	0.18934318
130606.00000000	-0.69270000	-0.02107524	14.01000000	0.04323057	0.18968446
131107.00000000	-0.68780000	-0.02121171	14.01000000	0.04352305	0.18998758
131608.00000000	-0.68280000	-0.02135730	14.01000000	0.04382476	0.19029753
132108.00000000	-0.67790000	-0.02151196	14.01000000	0.04413979	0.19063671
132609.00000000	-0.67270000	-0.02166791	14.01000000	0.04447552	0.19099231
133109.00000000	-0.66780000	-0.02182386	14.01100000	0.04478927	0.19131482
133610.00000000	-0.66280000	-0.02197327	14.01100000	0.04510524	0.19162808
134110.00000000	-0.65770000	-0.02212922	14.01100000	0.04543777	0.19196209
134611.00000000	-0.65270000	-0.02228518	14.01100000	0.04577270	0.19230105
135111.00000000	-0.64780000	-0.02244372	14.01100000	0.04610374	0.19263194
135611.00000000	-0.64280000	-0.02260485	14.01100000	0.04644575	0.19297096
136111.00000000	-0.63770000	-0.02276727	14.01100000	0.04679600	0.19331184
136611.00000000	-0.63270000	-0.02293358	14.01100000	0.04715185	0.19366398
137111.00000000	-0.62780000	-0.02309866	14.01100000	0.04749550	0.19399098
137611.00000000	-0.62280000	-0.02326108	14.01100000	0.04783420	0.19429266
138111.00000000	-0.61790000	-0.02342092	14.01100000	0.04816878	0.19458634
138611.00000000	-0.61270000	-0.02358593	14.01100000	0.04853557	0.19491356
139111.00000000	-0.60780000	-0.02374965	14.01100000	0.04888720	0.19522605
139611.00000000	-0.60280000	-0.02392120	14.01000000	0.04925923	0.19556320
140111.00000000	-0.59790000	-0.02409923	14.01000000	0.04964013	0.19591767
140611.00000000	-0.59270000	-0.02428250	14.01000000	0.05003445	0.19626519
141111.00000000	-0.58780000	-0.02446829	14.01000000	0.05041475	0.19660121
141611.00000000	-0.58280000	-0.02465415	14.01000000	0.05079325	0.19691685
142111.00000000	-0.57790000	-0.02483218	14.01000000	0.05115942	0.19720866
142611.00000000	-0.57270000	-0.02501020	14.01000000	0.05154245	0.19749874
143111.00000000	-0.56780000	-0.02519211	14.01000000	0.05192592	0.19780668
143611.00000000	-0.56280000	-0.02538186	14.01000000	0.05233461	0.19814496
144112.00000000	-0.55770000	-0.02557678	14.01000000	0.05276141	0.19849901
144612.00000000	-0.55270000	-0.02577170	14.01000000	0.05318551	0.19884699
145113.00000000	-0.54780000	-0.02597964	14.01000000	0.05361773	0.19920934
145613.00000000	-0.54280000	-0.02619534	14.01000000	0.05406560	0.19958158
146113.00000000	-0.53770000	-0.02640321	14.01000000	0.05450989	0.19992756
146614.00000000	-0.53270000	-0.02660985	14.01000000	0.05494628	0.20025798
147114.00000000	-0.52780000	-0.02680736	14.01000000	0.05536999	0.20056473
147614.00000000	-0.52280000	-0.02701270	14.01000000	0.05581996	0.20089941
148114.00000000	-0.51770000	-0.02724142	14.01000000	0.05630311	0.20127310
148614.00000000	-0.51270000	-0.02747402	14.01000000	0.05678337	0.20163987
149114.00000000	-0.50780000	-0.02768195	14.01100000	0.05723525	0.20195516
149614.00000000	-0.50280000	-0.02790542	14.01100000	0.05772376	0.20231409
150114.00000000	-0.49770000	-0.02813938	14.01100000	0.05823351	0.20268817
150614.00000000	-0.49270000	-0.02837845	14.01100000	0.05873874	0.20305231
151114.00000000	-0.48780000	-0.02861759	14.01100000	0.05923573	0.20340064
151614.00000000	-0.48280000	-0.02884890	14.01100000	0.05973546	0.20373137
152114.00000000	-0.47770000	-0.02908279	14.01100000	0.06024293	0.20405247
152614.00000000	-0.47270000	-0.02932711	14.01100000	0.06076282	0.20439268
153114.00000000	-0.46780000	-0.02957660	14.01100000	0.06128869	0.20474119
153615.00000000	-0.46280000	-0.02982351	14.01100000	0.06183098	0.20509327
154115.00000000	-0.45770000	-0.03007559	14.01100000	0.06237364	0.20542145
154615.00000000	-0.45270000	-0.03033551	14.01100000	0.06292008	0.20575351
155115.00000000	-0.44780000	-0.03060579	14.01100000	0.06347693	0.20610047
155615.00000000	-0.44270000	-0.03088390	14.01000000	0.06405913	0.20645143
156116.00000000	-0.43770000	-0.03115676	14.01000000	0.06462054	0.20676614
156617.00000000	-0.43270000	-0.03142969	14.01000000	0.06519109	0.20708129
157117.00000000	-0.42780000	-0.03170514	14.01000000	0.06577354	0.20741292
157617.00000000	-0.42270000	-0.03199102	14.01000000	0.06638976	0.20775842
158117.00000000	-0.41770000	-0.03227697	14.01000000	0.06699193	0.20807857
158617.00000000	-0.41270000	-0.03256543	14.01000000	0.06760249	0.20839628
159117.00000000	-0.40780000	-0.03285390	14.01000000	0.06821702	0.20871717
159617.00000000	-0.40280000	-0.03315020	14.01000000	0.06885366	0.20904312
160117.00000000	-0.39770000	-0.03345951	14.01000000	0.06950542	0.20936219
160617.00000000	-0.39270000	-0.03377135	14.01000000	0.07016009	0.20968159
161118.00000000	-0.38780000	-0.03408843	14.01000000	0.07082362	0.21001050
161619.00000000	-0.38260000	-0.03439250	14.01000000	0.07149451	0.21029193
162119.00000000	-0.37770000	-0.03469397	14.01000000	0.07215320	0.21057874
162619.00000000	-0.37270000	-0.03500070	14.01000000	0.07283283	0.21086448
163119.00000000	-0.36760000	-0.03532555	14.01000000	0.07354344	0.21116204
163619.00000000	-0.36260000	-0.03565039	14.01000000	0.07425998	0.21146299
164119.00000000	-0.35770000	-0.03597531	14.01000000	0.07496413	0.21174175
164620.00000000	-0.35270000	-0.03630534	14.01000000	0.07569055	0.21201774
165120.00000000	-0.34780000	-0.03664585	14.01000000	0.07641758	0.21228975
165620.00000000	-0.34260000	-0.03699148	14.01000000	0.07719315	0.21256230
166121.00000000	-0.33770000	-0.03734236	14.01000000	0.07796996	0.21286116
166621.00000000	-0.33270000	-0.03768539	14.01000000	0.07874905	0.21312572
